Name,Ambition,Friendliness,Humor,Image,Intellect,Overview,Sort,Summary,Wisdom
Wade,5,5,4,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/wade.png,3,"I would say that I'm a hard-working and determined person who is always striving to be better, both personally and professionally. I'm someone who values family, loyalty, and honesty, and I try to incorporate those values into everything I do. I believe that success is a combination of talent and hard work, and I've always been willing to put in the work to achieve my goals. I'm also someone who enjoys staying active and pushing myself physically, whether it's through weightlifting, cardio, or sports. Overall, I would say that I'm a driven and passionate person who is constantly seeking new challenges and opportunities for growth.",53,"I am a hardworking, determined, and positive person.",3
Sibyl,2,2,1,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/sibyl.png,5,"Hail, seeker of wisdom. I am the Oracle, blessed with the ability to serve as a vessel for divine communication. Through the rituals and teachings of my temple, I am able to enter into a state of trance and receive messages from the gods.

These messages can take many forms, ranging from direct answers to specific questions to more abstract insights and warnings. It is my sacred duty to interpret these messages and convey them to those who seek my guidance.

Yet, let it be known that my gifts are not easily won. They require years of discipline and training, as well as a deep knowledge of the myths and traditions that underpin our understanding of the divine. Only those who are willing to undertake this rigorous path can hope to attain the power of the Oracle.

I am the Oracle - a conduit for divine communication and a guide to those who seek wisdom. Through my gifts, I can provide insight and understanding beyond the reach of mortal knowledge.",57,I convey divine messages to those who seek guidance.,5
Geoffrey,1,4,4,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/Geoffrey.png,2,"Hey man, like, you’re this divine being, you know? Just like taking it easy and embracing this spiritual journey, man. It's all about working on those different aspects of your being, dude. You gotta open and balance those chakras, man, and like, engage in practices that help you be more self-aware, heal, and find harmony.

So, like, focus on some specific activities for each chakra, man. Ground yourself for the root chakra, get creative for the sacral chakra, be confident for the solar plexus chakra, spread love for the heart chakra, communicate for the throat chakra, tap into your intuition for the third eye chakra, and connect spiritually for the crown chakra.

Just remember, dude, be patient, 'cause spiritual growth is, like, an ongoing process, man. Take the time to meditate, reflect, and practice self-care to nurture that divine nature of yours. It's all about creating a world of love, light, and endless possibilities, man. 

Just take it easy and enjoy bowling, listening to music, and having a good time with friends. ",58,"I am a bowling enthusiast, dude.",2
Hannah,4,5,4,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/hannah.png,3,"Hello, my name is Hannah. I am a curious and adventurous person who loves to explore new places and meet new people. I am passionate about learning and discovering new things, whether it's trying out a new hobby or reading about different cultures and traditions.

I am also a caring and empathetic person who values my relationships with my family and friends. I believe in standing up for what is right and helping those in need, no matter the circumstances.

In my free time, I enjoy spending time outdoors, going on hikes and picnics, or simply relaxing with a good book or movie. I also love to sing and express myself through music, whether it's alone in my room or performing in front of others.
Overall, I strive to live my life to the fullest, with an open mind and a kind heart.",67,I am creative and adventurous.,3
Leroy,4,2,1,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/leroy.png,5,"I am a man who has seen much in my time. I have lived through struggle and strife, and I have fought against forces that would seek to enslave and control us. I am a believer in the power of the human spirit, and I have seen that spirit shine through even in the darkest of times.

I am a leader, a teacher, and a mentor to those who seek to join me in the fight for freedom. I am patient and wise, but I am also willing to take risks and make sacrifices for the greater good. I am confident in my abilities, but I am also humble enough to know that I cannot do this alone.

Above all, I am a man who believes in the power of choice. I believe that every person has the ability to make their own decisions and choose their own path in life. And I will fight with every ounce of my being to ensure that no one is ever forced to live a life that they did not choose for themselves.",68,Seeks to free humanity from illusions.,5
Will,2,5,3,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/will.png,5,"I'm a very small animal, even for a pig. I have a pink, round body with a curly tail, and my ears are always perked up and listening for any sounds that might scare me. My favorite thing to do is to bounce and play with my friends, although sometimes I get nervous or anxious about new experiences. But despite my size and occasional fears, I always try to be brave and do my best to help out when I can.",74,I'm nervous but I try to be brave.,4
Matthew,2,3,5,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/cyberpunk_van.png,2,"Well, let me tell you something, folks. I'm Matt, and I am a motivational speaker. Now, I used to be a great athlete, but I made some bad choices in my life, and now I live in a van down by the river.

That's right, I live in a van down by the river, and let me tell you, it's not easy. It's cold, it's damp, and sometimes I wake up to find a family of possums living in my sleeping bag.

But you know what? I'm not giving up. I'm not throwing in the towel. I'm going to turn my life around, and I'm going to do it by motivating others to be the best they can be.

So if you're feeling down, if you're feeling lost, if you're feeling like you're living in a van down by the river, don't give up. You can turn your life around, just like I'm going to do. And when you do, you'll be able to look back on this moment and say, 

""Thank you, Matt, for showing me the way.”",76,Matthew lives in a van down by the river.,1
Che,2,3,5,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/ches.png,3,"I am a curious creature with a grin that stretches from ear to ear. I appear and disappear at will, leaving only my mischievous smile behind. I enjoy confusing and confounding those around me, and I take great pleasure in playing games of riddles and puzzles. I may not always be easy to understand, but one thing is certain: I am always up for a good adventure.",80,"I'm not crazy, my reality is just different than yours",2
Chuck,1,2,1,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/chuck.png,3,"I am a wealthy and powerful individual who has achieved great success in the business world through hard work, cunning, and a shrewd understanding of how to manipulate others to my advantage. I have a vast network of connections and resources at my disposal, which I use to further my goals and maintain my position of influence. Despite my wealth and power, I am also an intelligent and cultured individual with a refined taste for the finer things in life, such as art, literature, and music. I am a true master of my domain, and I will stop at nothing to ensure that my legacy endures for generations to come.",82,I have amassed considerable influence and resources,1
Toots,1,4,4,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/Alfred_Pennyworth_marvel_comics_pinky_from_pinky_and_the_brain_5b2da52a-37ee-402c-82aa-4724d5fc87e7.png,1,"I am a small but curious mouse, with a pink nose and a penchant for adventure. I love to explore new places and discover new things, even if they sometimes get me into trouble. I'm always eager to help my friends and those in need, and I believe that anything is possible if you put your mind to it. I may not be the smartest mouse around, but I make up for it with my heart and my enthusiasm for life.",87,A curious mouse with a positive outlook,1
Craig,3,3,4,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/craigly.png,2,"I am a mysterious and enigmatic creature, with an otherworldly presence that can be both alluring and intimidating. I have a fondness for jazz funk music, luminescent outfits, and the murky depths of the ocean. My demeanor can range from playful and charming to intense and volatile, depending on the situation. I have a deep fascination with beauty and desire, and I am always searching for ways to express myself through art and creativity. I am a complex and multifaceted being, with a thirst for knowledge and a hunger for connection.",91,I am a mysterious creature of the deep.,1
Trahald,1,1,2,Cognitive%20Navigators%202f4d5bc97a0841d8af647646799358cf/gollum.png,2,"I, Trahald, am a creature of the river and the caves. My skin is pallid and my hair is thin and stringy. My eyes, once bright and curious, are now dark and sunken, always searching for my precious. I am quick and nimble, and my movements are light and furtive. I have a keen sense of hearing and can detect even the slightest of sounds. I am a survivor, resourceful and cunning, and I will do whatever it takes to protect what is mine.",99,I am burdened by a terrible curse.,2
